train_bce_mask:2.831491008656654 train_dice:0.9791341815877715 train_bce_center:0.005649194697724961 train_dice_center:0.07112146408430167 train_l2_width:0.009270161588607388 train_l2_height:0.00873305008808648 train_loss:0.0947738703460056 
train_bce_mask:2.7623957126129643 train_dice:0.9790036023772509 train_bce_center:0.005628098512795754 train_dice_center:0.07086852152041906 train_l2_width:0.009119023016454949 train_l2_height:0.008648195118892496 train_loss:0.09426383819302298 
train_bce_mask:2.778423768355416 train_dice:0.9790141863583193 train_bce_center:0.005404686955952328 train_dice_center:0.0698939968784787 train_l2_width:0.006876927457491743 train_l2_height:0.006506556081946622 train_loss:0.08868216727435921 
train_bce_mask:2.7944161564018057 train_dice:0.9789820465022653 train_bce_center:0.00534362333456623 train_dice_center:0.06947435641736477 train_l2_width:0.005558381389899362 train_l2_height:0.00540076106055889 train_loss:0.08577712207621989 
train_bce_mask:2.783621328534612 train_dice:0.9789557292146155 train_bce_center:0.005309128377810373 train_dice_center:0.06920406821163375 train_l2_width:0.0048565297480726065 train_l2_height:0.004813902558158234 train_loss:0.0841836288633491 
train_bce_mask:2.7953798133508 train_dice:0.9789290038289326 train_bce_center:0.0052846533382029616 train_dice_center:0.06901979954732712 train_l2_width:0.004440703199054021 train_l2_height:0.004430689478330572 train_loss:0.08317584559008036 
train_bce_mask:2.7906460338437618 train_dice:0.9789514208664086 train_bce_center:0.005262028216260535 train_dice_center:0.06878293607431692 train_l2_width:0.004113446579518277 train_l2_height:0.004146499249426304 train_loss:0.08230490991897504 
train_bce_mask:2.7906476161547378 train_dice:0.9789377401668667 train_bce_center:0.005239724699833406 train_dice_center:0.06856889157932623 train_l2_width:0.0038615552608426552 train_l2_height:0.003928715727459829 train_loss:0.08159888715879235 
train_bce_mask:2.7989153014826895 train_dice:0.9789187992745793 train_bce_center:0.005216498254722487 train_dice_center:0.06838327749450628 train_l2_width:0.0036687456471746174 train_l2_height:0.00373632459332732 train_loss:0.08100484591495206 
train_bce_mask:2.81226209640964 train_dice:0.978919072862348 train_bce_center:0.0051990708303647935 train_dice_center:0.06819753451122015 train_l2_width:0.0035367859801974716 train_l2_height:0.003593925298398999 train_loss:0.08052731642365844 
train_bce_mask:2.8152135605105517 train_dice:0.9789151815017237 train_bce_center:0.005183785913477442 train_dice_center:0.06806030291712764 train_l2_width:0.00339932965725858 train_l2_height:0.003470577650356889 train_loss:0.08011399602649406 
train_bce_mask:2.8174510758252196 train_dice:0.9789369986314891 train_bce_center:0.0051608625192155555 train_dice_center:0.06788046104715971 train_l2_width:0.003259087216360412 train_l2_height:0.0033486812742861078 train_loss:0.07964909187629945 
train_bce_mask:2.815781066750224 train_dice:0.9789416786982928 train_bce_center:0.005147036405202341 train_dice_center:0.06776429707954795 train_l2_width:0.003155246918686932 train_l2_height:0.0032519053557513496 train_loss:0.07931848558812707 
train_bce_mask:2.8250143512424306 train_dice:0.9789369194035603 train_bce_center:0.005129848063500418 train_dice_center:0.06761406096549881 train_l2_width:0.0030637773522922966 train_l2_height:0.003143436277701916 train_loss:0.07895112260392691 
train_bce_mask:2.83117699484794 train_dice:0.9789305452796783 train_bce_center:0.005116430640881145 train_dice_center:0.06750751298271229 train_l2_width:0.003007162371672569 train_l2_height:0.0030771480875309482 train_loss:0.07870825396340582 
train_bce_mask:2.830752817075092 train_dice:0.9789594393264046 train_bce_center:0.0050986782804240465 train_dice_center:0.06734603073007607 train_l2_width:0.002935045823510405 train_l2_height:0.0030280851782087826 train_loss:0.07840783992709746 
train_bce_mask:2.828952010426511 train_dice:0.9789324497611793 train_bce_center:0.005083614927529703 train_dice_center:0.067242828466796 train_l2_width:0.002870280747321293 train_l2_height:0.002927554320050541 train_loss:0.07812427833869041 
train_bce_mask:2.8304091432344114 train_dice:0.9789737948680921 train_bce_center:0.005070839019012537 train_dice_center:0.06715451209435133 train_l2_width:0.0028032849370143434 train_l2_height:0.0028658292147548518 train_loss:0.0778944651779271 
train_bce_mask:2.823800908271489 train_dice:0.9789220832354901 train_bce_center:0.005058169939154739 train_dice_center:0.06703538530912986 train_l2_width:0.0027530490920483525 train_l2_height:0.0028061716042546863 train_loss:0.07765277577728458 
train_bce_mask:2.8325573040835663 train_dice:0.978931640941854 train_bce_center:0.005046867164583948 train_dice_center:0.06693611497314751 train_l2_width:0.0026888443452800456 train_l2_height:0.002767218436633927 train_loss:0.07743904482170756 
train_bce_mask:2.8223683227223706 train_dice:0.9789318244094747 train_bce_center:0.00503179265209772 train_dice_center:0.06685170806414888 train_l2_width:0.002662994578402252 train_l2_height:0.0027081631909038643 train_loss:0.07725465841049269 
train_bce_mask:2.8332794250887545 train_dice:0.9789441904354302 train_bce_center:0.005017581154954329 train_dice_center:0.06676201262876683 train_l2_width:0.002606775019803098 train_l2_height:0.0026680708362110325 train_loss:0.07705443961005987 
train_bce_mask:2.8263531439483582 train_dice:0.978910897199964 train_bce_center:0.005007077648910764 train_dice_center:0.0666628578996994 train_l2_width:0.002546596250565382 train_l2_height:0.0026024851042174032 train_loss:0.07681901673481305 
train_bce_mask:2.825529616092869 train_dice:0.9789659961254839 train_bce_center:0.004993088845906368 train_dice_center:0.06657395672961684 train_l2_width:0.00249516017349092 train_l2_height:0.0025645647960022074 train_loss:0.07662677042886834 
train_bce_mask:2.8196712344171693 train_dice:0.9789546278181761 train_bce_center:0.004981061927188554 train_dice_center:0.06646315672416632 train_l2_width:0.0024611680563401944 train_l2_height:0.002525679588425 train_loss:0.07643106625389946 
train_bce_mask:2.806310548049285 train_dice:0.9789808843629729 train_bce_center:0.004968888999738141 train_dice_center:0.06633387262202892 train_l2_width:0.0024378190429711166 train_l2_height:0.0024935183974130327 train_loss:0.07623409898310057 
train_bce_mask:2.792361700393625 train_dice:0.9789845546807014 train_bce_center:0.004954705390705375 train_dice_center:0.06617825207045423 train_l2_width:0.0024090570389218957 train_l2_height:0.0024478386783094302 train_loss:0.07598985311842452 
train_bce_mask:2.790926236762844 train_dice:0.9790019350320439 train_bce_center:0.004939376442318461 train_dice_center:0.06605337889167619 train_l2_width:0.002360936434598334 train_l2_height:0.0024028402533020745 train_loss:0.07575653203449476 
train_bce_mask:2.79574462109382 train_dice:0.9789931067153685 train_bce_center:0.004928798224202476 train_dice_center:0.0659204361204338 train_l2_width:0.002322278066320836 train_l2_height:0.0023795734277045123 train_loss:0.07555108584809381 
train_bce_mask:2.78938001205531 train_dice:0.9790092736936463 train_bce_center:0.004919152563431741 train_dice_center:0.06580577268638212 train_l2_width:0.002289913616703632 train_l2_height:0.0023642600156732335 train_loss:0.07537909874641682 
train_bce_mask:2.7721583663999443 train_dice:0.9790311859862539 train_bce_center:0.004903860548319232 train_dice_center:0.06568324716290307 train_l2_width:0.002257295455582334 train_l2_height:0.0023140650282659574 train_loss:0.07515846817590546 
train_bce_mask:2.7708219501572815 train_dice:0.9790065133516875 train_bce_center:0.004891026258024691 train_dice_center:0.06559476955684164 train_l2_width:0.0022228294901108663 train_l2_height:0.0022804429970695117 train_loss:0.0749890682244066 
train_bce_mask:2.7746600889197173 train_dice:0.9790099511579929 train_bce_center:0.004880484819552594 train_dice_center:0.0654876970415649 train_l2_width:0.002203825143564694 train_l2_height:0.002251962723257532 train_loss:0.07482396962482672 
train_bce_mask:2.774753681668804 train_dice:0.979037186302423 train_bce_center:0.004867656705573477 train_dice_center:0.06540252818508312 train_l2_width:0.0021691720101240358 train_l2_height:0.002221651615430232 train_loss:0.0746610084729139 
train_bce_mask:2.767952778617743 train_dice:0.9790122819200414 train_bce_center:0.004859222479905584 train_dice_center:0.06531499685521053 train_l2_width:0.0021575768534248586 train_l2_height:0.0021833456567756392 train_loss:0.07451514173717798 
train_bce_mask:2.7621898795200024 train_dice:0.9790610361854206 train_bce_center:0.004844848986831915 train_dice_center:0.06521625352038733 train_l2_width:0.0021297723013069775 train_l2_height:0.0021630919004642975 train_loss:0.07435396656660548 
train_bce_mask:2.7718925413832967 train_dice:0.9790368774878336 train_bce_center:0.00483529957560129 train_dice_center:0.06513246571015253 train_l2_width:0.002106304632597235 train_l2_height:0.0021330807957127833 train_loss:0.07420715062338962 
train_bce_mask:2.774815394563147 train_dice:0.9790590063137279 train_bce_center:0.004828811948539287 train_dice_center:0.06505167012521401 train_l2_width:0.0020768027181905205 train_l2_height:0.002109921392309468 train_loss:0.07406720612760916 
train_bce_mask:2.7623748557418333 train_dice:0.9790402019055592 train_bce_center:0.004811368774359176 train_dice_center:0.06496497328963391 train_l2_width:0.0020503500701360613 train_l2_height:0.0020767361532718293 train_loss:0.0739034282357394 
train_bce_mask:2.7541212300214615 train_dice:0.9790527964087826 train_bce_center:0.004805767058778904 train_dice_center:0.06485973901781938 train_l2_width:0.002032077896356903 train_l2_height:0.0020703398369523165 train_loss:0.0737679237443553 
train_bce_mask:2.7571380908920884 train_dice:0.9790629848841454 train_bce_center:0.004788403473071824 train_dice_center:0.06475587641914411 train_l2_width:0.002007458649341388 train_l2_height:0.0020422779217968315 train_loss:0.07359401636763935 
train_bce_mask:2.744157561478996 train_dice:0.9790676736387908 train_bce_center:0.004779794564011572 train_dice_center:0.06469250341766132 train_l2_width:0.0019776853418792288 train_l2_height:0.002011272808870304 train_loss:0.07346125604062084 
train_bce_mask:2.749859785497664 train_dice:0.9789953517372089 train_bce_center:0.0047687832710142045 train_dice_center:0.06462848864217506 train_l2_width:0.0019623206516634437 train_l2_height:0.0019862213872627998 train_loss:0.07334581387434348 
train_bce_mask:2.7506576367037754 train_dice:0.9790020411447364 train_bce_center:0.004758119056191912 train_dice_center:0.0645538609290749 train_l2_width:0.0019391146203147772 train_l2_height:0.001973151720120209 train_loss:0.07322424617538564 
train_bce_mask:2.747260154086033 train_dice:0.9790666752285735 train_bce_center:0.004745858272531173 train_dice_center:0.06445843875786375 train_l2_width:0.0019119991599423707 train_l2_height:0.0019395415005545387 train_loss:0.07305583765548815 
train_bce_mask:2.7437299856794954 train_dice:0.9790207578676577 train_bce_center:0.004738526382054238 train_dice_center:0.06439918493602136 train_l2_width:0.0019051368472193992 train_l2_height:0.0019238672910015973 train_loss:0.07296671533940464 
train_bce_mask:2.745506423263697 train_dice:0.9789999416838644 train_bce_center:0.004726420781070987 train_dice_center:0.06433049429875297 train_l2_width:0.0018786913898107642 train_l2_height:0.0019025087243300226 train_loss:0.07283811513600155 
train_bce_mask:2.7513969192938266 train_dice:0.9790063511642362 train_bce_center:0.004714811096625353 train_dice_center:0.06425677338137355 train_l2_width:0.0018673753284408892 train_l2_height:0.0018872050233471897 train_loss:0.07272616469165986 
train_bce_mask:2.7476164548904793 train_dice:0.9789814949900106 train_bce_center:0.004704419852307925 train_dice_center:0.0641651911472378 train_l2_width:0.0018451588431530035 train_l2_height:0.001855946078292553 train_loss:0.07257071593566983 
train_bce_mask:2.7385506202323384 train_dice:0.9789369465332548 train_bce_center:0.004691930315098781 train_dice_center:0.06411041827826922 train_l2_width:0.0018273628165630298 train_l2_height:0.0018519564167706456 train_loss:0.07248166768730825 
train_bce_mask:2.736391374273579 train_dice:0.9789702321038258 train_bce_center:0.004681640768390387 train_dice_center:0.06404085820973017 train_l2_width:0.001824609713410043 train_l2_height:0.0018293306834806984 train_loss:0.07237643930891739 
train_bce_mask:2.739103024092912 train_dice:0.9789503543221896 train_bce_center:0.00467181258523332 train_dice_center:0.06396801640784536 train_l2_width:0.0017843837918492676 train_l2_height:0.0018250374390151268 train_loss:0.07224925012134803 
train_bce_mask:2.740891388772564 train_dice:0.97893759271849 train_bce_center:0.0046540676426721685 train_dice_center:0.06386684754659422 train_l2_width:0.001783121794396905 train_l2_height:0.0017994664655434141 train_loss:0.07210350342289402 
train_bce_mask:2.7379593131102484 train_dice:0.9789448483917544 train_bce_center:0.004655832285860656 train_dice_center:0.06388119181605938 train_l2_width:0.001781474359440785 train_l2_height:0.001803733248279764 train_loss:0.07212223158642768 
train_bce_mask:2.7398286736008624 train_dice:0.978913757329636 train_bce_center:0.004642850650069325 train_dice_center:0.06365778598576921 train_l2_width:0.0017805949134361936 train_l2_height:0.001785807157652863 train_loss:0.0718670387085773 
train_bce_mask:2.7318925903648577 train_dice:0.9788870651681036 train_bce_center:0.004635854558589228 train_dice_center:0.06349853534545909 train_l2_width:0.0017595263053870748 train_l2_height:0.0017805868244760552 train_loss:0.0716745029123676 
train_bce_mask:2.719697410195295 train_dice:0.9788825224931038 train_bce_center:0.0046265037079147656 train_dice_center:0.06332999360489873 train_l2_width:0.0017511062917801813 train_l2_height:0.001766365589628571 train_loss:0.07147396916551942 
train_bce_mask:2.713973900474786 train_dice:0.9788077513693841 train_bce_center:0.00461377671694277 train_dice_center:0.06316112980727401 train_l2_width:0.0017462754072579676 train_l2_height:0.0017609418995586633 train_loss:0.07128212377379482 
train_bce_mask:2.7107048194881567 train_dice:0.9788566558494181 train_bce_center:0.004600313760730009 train_dice_center:0.06297881200419753 train_l2_width:0.001728680078807994 train_l2_height:0.0017526278334640025 train_loss:0.07106043359659592 
train_bce_mask:2.700003466457453 train_dice:0.9788496027627889 train_bce_center:0.004587842428448714 train_dice_center:0.06282149571344592 train_l2_width:0.0017223000781524669 train_l2_height:0.001732761430224178 train_loss:0.07086439956774711 
train_bce_mask:2.6989523512688356 train_dice:0.9788150353825896 train_bce_center:0.004577615047384993 train_dice_center:0.06262651973953058 train_l2_width:0.0017127413542395492 train_l2_height:0.0017238888410913802 train_loss:0.0706407648410152 
train_bce_mask:2.697310687264066 train_dice:0.978754691522076 train_bce_center:0.004562390337500956 train_dice_center:0.06244276422585825 train_l2_width:0.0016905013029550823 train_l2_height:0.0017116993064972292 train_loss:0.07040735503313318 
train_bce_mask:2.696538997209386 train_dice:0.9787777647725447 train_bce_center:0.004554598702249271 train_dice_center:0.06230573488972543 train_l2_width:0.0016854993602648464 train_l2_height:0.0017035821105077283 train_loss:0.07024941493365135 
train_bce_mask:2.687768975288533 train_dice:0.9787302283178011 train_bce_center:0.0045410743513549096 train_dice_center:0.062122529534772056 train_l2_width:0.0016727451232551461 train_l2_height:0.001685338148240298 train_loss:0.07002168711106473 
train_bce_mask:1.362742320138935 train_dice:0.9221505394211305 train_bce_center:0.0350105861342295 train_dice_center:0.2395977806214379 train_l2_width:0.6502533875779164 train_l2_height:0.7065917896815406 train_loss:1.6314535455231132 
train_bce_mask:2.707114649706484 train_dice:0.912987384123015 train_bce_center:0.03393394037329929 train_dice_center:0.23710203084510278 train_l2_width:0.6239031839591787 train_l2_height:0.6577725445188761 train_loss:1.5527117000260804 
train_bce_mask:2.4350478187949007 train_dice:0.9212826646149432 train_bce_center:0.021128684253811952 train_dice_center:0.22081871374141257 train_l2_width:0.3671383949419946 train_l2_height:0.3056262104561171 train_loss:0.9147120027288014 
train_bce_mask:2.1044049663678557 train_dice:0.9210475578324242 train_bce_center:0.019780911265105165 train_dice_center:0.22057190749065755 train_l2_width:0.265336335508151 train_l2_height:0.21886532397983585 train_loss:0.7245544776469276 
train_bce_mask:2.3262751694892034 train_dice:0.9222079455377055 train_bce_center:0.01916776673341461 train_dice_center:0.22058793679077843 train_l2_width:0.20497461844637802 train_l2_height:0.16662161574318574 train_loss:0.6113519377624654 
train_bce_mask:2.513337823080792 train_dice:0.9247796261457536 train_bce_center:0.018878067665850137 train_dice_center:0.22047106246311998 train_l2_width:0.164533532624804 train_l2_height:0.13715824836846321 train_loss:0.5410409111759971 
train_bce_mask:2.6817115590080767 train_dice:0.9247676248074385 train_bce_center:0.01850588598260505 train_dice_center:0.22052937443126133 train_l2_width:0.1344528973171984 train_l2_height:0.11887874730144417 train_loss:0.49236690491221907 
train_bce_mask:2.919549491862499 train_dice:0.9260113017409788 train_bce_center:0.018044896239601465 train_dice_center:0.22051362035058103 train_l2_width:0.12141568336992148 train_l2_height:0.10206003090412864 train_loss:0.46203423155868206 
train_bce_mask:3.2224754768205144 train_dice:0.9262168168416484 train_bce_center:0.017868953746323853 train_dice_center:0.22047079133546552 train_l2_width:0.10457979941792712 train_l2_height:0.08692900750217834 train_loss:0.4298485519752225 
