train_bce_mask:0.13594561964273452 train_dice:0.32189956195652486 train_bce_center:0.012505193811375648 train_dice_center:0.39026041328907013 train_l2_width:0.017117898783180863 train_l2_height:0.016494624339975415 train_loss:0.8942233070731163 
train_bce_mask:0.1236941434442997 train_dice:0.28598887510597704 train_bce_center:0.013294258713722229 train_dice_center:0.38574952110648153 train_l2_width:0.017519181896932422 train_l2_height:0.017438593425322325 train_loss:0.8436845630407334 
train_bce_mask:0.1168671278283 train_dice:0.2710773810744286 train_bce_center:0.011207379237748682 train_dice_center:0.3797458238899708 train_l2_width:0.01690798085182905 train_l2_height:0.01490947719430551 train_loss:0.8107151746749878 
train_bce_mask:0.11060611717402935 train_dice:0.2657776392996311 train_bce_center:0.010408743866719306 train_dice_center:0.3755705066025257 train_l2_width:0.014953258750028908 train_l2_height:0.013975570001639426 train_loss:0.7912918299436569 
train_bce_mask:0.10991949317976832 train_dice:0.25581094622612 train_bce_center:0.009912014077417552 train_dice_center:0.3658608257770538 train_l2_width:0.016367758554406465 train_l2_height:0.015343724912963808 train_loss:0.7732147723436356 
train_bce_mask:0.10460797771811485 train_dice:0.2538947455585003 train_bce_center:0.010261487914249301 train_dice_center:0.35601984709501266 train_l2_width:0.01568581771571189 train_l2_height:0.01401383352931589 train_loss:0.7544837057590484 
train_bce_mask:0.07928614979609847 train_dice:0.25709722340106966 train_bce_center:0.009798430558294057 train_dice_center:0.3513584353029728 train_l2_width:0.016004685894586146 train_l2_height:0.014647911302745342 train_loss:0.7281928330659866 
train_bce_mask:0.07184674125164747 train_dice:0.2388870283961296 train_bce_center:0.009937947860453277 train_dice_center:0.3437744498252869 train_l2_width:0.016342213703319432 train_l2_height:0.014480078197084367 train_loss:0.6952684625983239 
train_bce_mask:0.07450462887063622 train_dice:0.23187796771526337 train_bce_center:0.009261560742743313 train_dice_center:0.3382342495024204 train_l2_width:0.016880891099572182 train_l2_height:0.016199444339144976 train_loss:0.6869587443768979 
train_bce_mask:0.07040369044989347 train_dice:0.22150911763310432 train_bce_center:0.009987895807716996 train_dice_center:0.341526298224926 train_l2_width:0.01887036187108606 train_l2_height:0.017061859392561017 train_loss:0.6793592303991318 
train_bce_mask:0.05159438159316778 train_dice:0.1904428044334054 train_bce_center:0.010130811808630824 train_dice_center:0.34031702056527136 train_l2_width:0.0186671577161178 train_l2_height:0.017068476718850433 train_loss:0.6282206475734711 
train_bce_mask:0.04565287292934954 train_dice:0.14804476220160723 train_bce_center:0.009470105613581836 train_dice_center:0.3316169619560242 train_l2_width:0.016854197555221617 train_l2_height:0.015920140640810133 train_loss:0.5675590440630913 
train_bce_mask:0.0441003134008497 train_dice:0.133593625202775 train_bce_center:0.00847685026237741 train_dice_center:0.3003539051860571 train_l2_width:0.017946792487055063 train_l2_height:0.017697312124073505 train_loss:0.5221687979996205 
train_bce_mask:0.04056115676648915 train_dice:0.12366715138778091 train_bce_center:0.007890929793938994 train_dice_center:0.2714012205600739 train_l2_width:0.017011401953641325 train_l2_height:0.015016666438896209 train_loss:0.4755485258996487 
train_bce_mask:0.041162412893027064 train_dice:0.11920694401487708 train_bce_center:0.00844121368136257 train_dice_center:0.2626420151442289 train_l2_width:0.016278810310177506 train_l2_height:0.015107782022096217 train_loss:0.4628391772508621 
